Code Insee;Code Postal;Ville;Nom Ville long;;;;;Cedex
60005;60620;ACY EN MULTIEN;ACY EN MULTIEN;60;E;01.01.0001;25.10.199325.10.1993;
08001;08300;ACY ROMANCE;ACY ROMANCE;08;E;01.01.0001;25.10.199325.10.1993;
57007;57580;ADAINCOURT;ADAINCOURT;57;E;01.01.0001;25.10.199325.10.1993;
78006;78113;ADAINVILLE;ADAINVILLE;78;E;01.01.0001;25.10.199325.10.1993;
25006;25360;ADAM LES PASSAVANT;ADAM LES PASSAVANT;25;E;01.01.0001;25.10.199325.10.1993;
25007;25530;ADAM LES VERCEL;ADAM LES VERCEL;25;E;01.01.0001;25.10.199325.10.1993;
67002;67320;ADAMSWILLER;ADAMSWILLER;67;E;01.01.0001;25.10.199325.10.1993;
65001;65260;ADAST;ADAST;65;E;01.01.0001;25.10.199325.10.1993;
65002;65100;ADE;ADE;65;E;01.01.0001;25.10.199325.10.1993;
57008;57380;ADELANGE;ADELANGE;57;E;01.01.0001;25.10.199325.10.1993;
70004;70200;ADELANS ET LE VAL DE BITHAINE;ADELANS LE VAL DE BITHAINE;70;E;01.01.0001;25.10.199306.06.1994;
65003;65240;ADERVIELLE POUCHERGUES;ADERVIELLE POUCHERGUES;65;E;01.01.0001;25.10.199325.10.1993;
79002;79200;ADILLY;ADILLY;79;E;01.01.0001;25.10.199325.10.1993;
62009;62116;ADINFER;ADINFER;62;E;01.01.0001;25.10.199325.10.1993;
34002;34230;ADISSAN;ADISSAN;34;E;01.01.0001;25.10.199325.10.1993;
88910;88270;ADOMPT;GELVECOURT ET ADOMPT;88;E;01.01.0001;25.10.199325.10.1993;
45001;45230;ADON;ADON;45;E;01.01.0001;25.10.199325.10.1993;
86001;86430;ADRIERS;ADRIERS;86;E;01.01.0001;25.10.199325.10.1993;
94900;94390;AEROPORT D ORLY;ORLY AEROGARE;94;E;01.01.0001;25.10.199325.10.1993;
2A001;20167;AFA;AFA;2A;E;01.01.0001;25.10.199325.10.1993;
98774;98719;AFAAHITI;AFAAHITI;98;E;01.01.0001;21.12.199421.12.1994;
19001;19260;AFFIEUX;AFFIEUX;19;E;01.01.0001;25.10.199325.10.1993;
54004;54800;AFFLEVILLE;AFFLEVILLE;54;E;01.01.0001;25.10.199325.10.1993;
