NAF rév. 2, 2008 - Niveau 4 - Liste des classes;;Statut des activités par classe NAF;REMARQUES;Potentiel marché;NOMBRE ;;;;REPARTITION ;;;
Code;Libellé;;;;0 salarié;< à 6 salariés;< à 10 salariés;< 20 salariés;0 salarié;< à 6 salariés;< à 10 salariés;< 20 salariés
38.31;Démantèlement d'épaves;R;;725;378;559;622;675;0,52137931;0,771034483;0,857931034;0,931034483
38.32;Récupération de déchets triés;R;;3958;2281;3120;3395;3661;0,576301162;0,788276908;0,857756443;0,924962102
39.00;Dépollution et autres services de gestion des déchets;R;;134;45;71;83;104;0,335820896;0,529850746;0,619402985;0,776119403
41.10;Promotion immobilière;R;;13583;10687;12906;13202;13401;0,787;0,9501;0,972;0,987
41.20;Construction de bâtiments résidentiels et non résidentiels;R;;27718;13877;23054;25145;26563;0,5006;0,832;0,907;0,958
42.11;Construction de routes et autoroutes;R;;1255;401;607;702;823;0,319521912;0,483665339;0,55936255;0,655776892
42.12;Construction de voies ferrées de surface et souterraines;R;;75;27;32;36;46;0,36;0,426666667;0,48;0,613333333
42.13;Construction de ponts et tunnels;R;;170;58;77;89;110;0,341;0,453;0,5235;0,647
42.21;Construction de réseaux pour fluides;R;;869;158;298;356;448;0,181818182;0,3429229;0,409666283;0,515535098
42.22;Construction de réseaux électriques et de télécommunications;R;;578;102;181;222;293;0,176470588;0,313148789;0,384083045;0,506920415
42.91;Construction d'ouvrages maritimes et fluviaux;R;;265;111;205;226;243;0,418867925;0,773584906;0,852830189;0,916981132
42.99;Construction d'autres ouvrages de génie civil n.c.a.;R;;4209;1921;3839;3969;4076;0,456402946;0,912093134;0,94297933;0,968401045
43.11;Travaux de démolition;R;;464;201;318;355;391;0,433189655;0,685344828;0,765086207;0,842672414
43.12;Travaux de préparation des sites;R;;18005;9207;14770;16042;17204;0,5113;0,8203;0,8909;0,9555
43.13;Forages et sondages;R;;469;169;360;409;443;0,360341151;0,767590618;0,87206823;0,9445629
43.21;Installation électrique;A;"Activités acceptées en MP Locaux des artisans du bâtiment ; pour le RC Pro, la RC Décennale et la PJ : voir PPAB";49666;28710;43928;46556;48452;0,578;0,8844;0,937;0,9755
43.22;Travaux de plomberie et installation de chauffage et de conditionnement d'air;M;;50744;27030;44160;47339;49557;0,5327;0,8702;0,933;0,977
43.29;Autres travaux d'installation;M;;5140;2239;4143;4571;4916;0,436;0,806;0,889;0,9565
43.31;Travaux de plâtrerie;A;;17842;9430;15980;16912;17534;0,528528192;0,895639502;0,947875799;0,982737361
43.32;Travaux de menuiserie;A;;54422;27723;46381;50355;53102;0,509;0,8522;0,9253;0,976
43.33;Travaux de revêtement des sols et des murs;M;;18379;10279;16578;17497;18099;0,559279613;0,902007726;0,952010447;0,984765221
43.34;Travaux de peinture et vitrerie;M;;50259;29258;45272;47726;49352;0,582144492;0,900773991;0,949601066;0,981953481
43.39;Autres travaux de finition;M;;10010;6025;9222;9670;9923;0,601898102;0,921278721;0,966033966;0,991308691
43.91;Travaux de couverture;A;;21719;8203;17871;19858;21122;0,378;0,823;0,915;0,9725
43.99;Autres travaux de construction spécialisés n.c.a.;M;;86589;38599;73318;80090;84253;0,446;0,847;0,925;0,973
45.11;Commerce de voitures et de véhicules automobiles légers;R;;25911;11022;20000;22400;23932;0,425379183;0,77187295;0,864497704;0,923623172
45.19;Commerce d'autres véhicules automobiles;R;;916;291;510;576;657;0,31768559;0,556768559;0,628820961;0,717248908
45.20;Entretien et réparation de véhicules automobiles;R;;37646;14859;32075;35675;37249;0,395;0,852;0,948;0,989
45.31;Commerce de gros d'équipements automobiles;R;;2457;828;1535;1806;2112;0,336996337;0,624745625;0,735042735;0,85958486
45.32;Commerce de détail d'équipements automobiles;R;;4573;1810;3566;4065;4417;0,395801443;0,779794446;0,888913186;0,965886726
45.40;Commerce et réparation de motocycles;R;;5528;2373;4798;5236;5484;0,429269175;0,867945007;0,947178003;0,992040521
46.11;Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis;M;;802;570;759;784;797;0,710723192;0,94638404;0,97755611;0,993765586
46.12;Intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques;R;;443;268;376;390;410;0,605;0,849;0,88;0,9255
